rep,m,n,threads,seq_time,elapsed,speedup,efficiency,checksum
1,1000,1000,1,0.0007719993333333334,0.000447989,1.723255109686473,1.723255109686473,307461.923077
2,1000,1000,1,0.0007719993333333334,0.000371933,2.075640863632249,2.075640863632249,307461.923077
3,1000,1000,1,0.0007719993333333334,0.000407934,1.8924613622138222,1.8924613622138222,307461.923077
1,1000,1000,2,0.0007719993333333334,0.000443935,1.7389918193729563,0.8694959096864782,307461.923077
2,1000,1000,2,0.0007719993333333334,0.000494003,1.5627421965723556,0.7813710982861778,307461.923077
3,1000,1000,2,0.0007719993333333334,0.000514984,1.4990744049006053,0.7495372024503026,307461.923077
1,1000,1000,4,0.0007719993333333334,0.000290155,2.660644598002217,0.6651611495005543,307461.923077
2,1000,1000,4,0.0007719993333333334,0.000344992,2.2377311164703335,0.5594327791175834,307461.923077
3,1000,1000,4,0.0007719993333333334,0.000290155,2.660644598002217,0.6651611495005543,307461.923077
1,1000,1000,8,0.0007719993333333334,0.000468016,1.6495148314017753,0.20618935392522192,307461.923077
2,1000,1000,8,0.0007719993333333334,0.000413895,1.865205748639953,0.23315071857999412,307461.923077
3,1000,1000,8,0.0007719993333333334,0.000454187,1.6997389474673061,0.21246736843341327,307461.923077
1,2000,2000,1,0.0025639533333333335,0.001966953,1.303515301755219,1.303515301755219,1230001.153846
2,2000,2000,1,0.0025639533333333335,0.001904964,1.345932696540897,1.345932696540897,1230001.153846
3,2000,2000,1,0.0025639533333333335,0.001966953,1.303515301755219,1.303515301755219,1230001.153846
1,2000,2000,2,0.0025639533333333335,0.001840115,1.3933658131874005,0.6966829065937002,1230001.153846
2,2000,2000,2,0.0025639533333333335,0.001971006,1.3008348697737773,0.6504174348868886,1230001.153846
3,2000,2000,2,0.0025639533333333335,0.002156973,1.1886812367764148,0.5943406183882074,1230001.153846
1,2000,2000,4,0.0025639533333333335,0.001522064,1.684523997238837,0.42113099930970926,1230001.153846
2,2000,2000,4,0.0025639533333333335,0.00207901,1.2332568546247173,0.30831421365617934,1230001.153846
3,2000,2000,4,0.0025639533333333335,0.00139904,1.8326519136931991,0.4581629784232998,1230001.153846
1,2000,2000,8,0.0025639533333333335,0.000988007,2.595076080770008,0.324384510096251,1230001.153846
2,2000,2000,8,0.0025639533333333335,0.00078702,3.2577994629530806,0.4072249328691351,1230001.153846
3,2000,2000,8,0.0025639533333333335,0.001065969,2.4052794530922883,0.30065993163653604,1230001.153846
1,4000,2000,1,0.004089435,0.003834009,1.0666211268674641,1.0666211268674641,2460001.736264
2,4000,2000,1,0.004089435,0.003835917,1.0660905853802363,1.0660905853802363,2460001.736264
3,4000,2000,1,0.004089435,0.004589081,0.8911228631614914,0.8911228631614914,2460001.736264
1,4000,2000,2,0.004089435,0.003777027,1.0827126732215575,0.5413563366107788,2460001.736264
2,4000,2000,2,0.004089435,0.002555847,1.600031222526231,0.8000156112631155,2460001.736264
3,4000,2000,2,0.004089435,0.003746986,1.0913931890858413,0.5456965945429206,2460001.736264
1,4000,2000,4,0.004089435,0.00220108,1.8579220200992241,0.46448050502480603,2460001.736264
2,4000,2000,4,0.004089435,0.002650976,1.5426148709003775,0.3856537177250944,2460001.736264
3,4000,2000,4,0.004089435,0.002926111,1.3975665994899031,0.3493916498724758,2460001.736264
1,4000,2000,8,0.004089435,0.001654863,2.4711622653959875,0.30889528317449844,2460001.736264
2,4000,2000,8,0.004089435,0.001638889,2.4952483054068946,0.3119060381758618,2460001.736264
3,4000,2000,8,0.004089435,0.001708984,2.392904205071551,0.2991130256339439,2460001.736264
